title,price,square_meters,rooms,interior_state,postal_code,neighborhood,url,unique_id
For rent: Flat Wolphaertsbocht in Rotterdam,1495,75,3,Upholstered,3081 KJ,Tarwewijk,https://www.pararius.com/apartment-for-rent/rotterdam/97e9e5ba/wolphaertsbocht,1495-3081 KJ-75
For rent: Flat Gerrit Jan Mulderstraat in Rotterdam,1550,52,2,Furnished,3023 RL,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/a0dffa19/gerrit-jan-mulderstraat,1550-3023 RL-52
For rent: Flat Spanjaardstraat in Rotterdam,1085,47,2,Upholstered,3025 TW,Bospolder,https://www.pararius.com/apartment-for-rent/rotterdam/400eb796/spanjaardstraat,1085-3025 TW-47
For rent: Flat Nieuwe Binnenweg in Rotterdam,1095,62,2,Shell,3023 EX,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/11d5eff7/nieuwe-binnenweg,1095-3023 EX-62
For rent: Flat Louise de Colignylaan 63 in Rotterdam,1750,86,3,Furnished,3062 HC,Kralingen Oost,https://www.pararius.com/apartment-for-rent/rotterdam/e22a2191/louise-de-colignylaan,1750-3062 HC-86
For rent: Flat Gerrit Jan Mulderstraat in Rotterdam,1595,58,2,Furnished,3023 RL,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/42d74a5a/gerrit-jan-mulderstraat,1595-3023 RL-58
For rent: Flat Müllerkade in Rotterdam,2250,56,3,Furnished,3024 EP,Schiemond,https://www.pararius.com/apartment-for-rent/rotterdam/6faabe85/muellerkade,2250-3024 EP-56
For rent: Flat Adamshofstraat in Rotterdam,2400,90,3,Furnished,3061 ZB,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/161d7004/adamshofstraat,2400-3061 ZB-90
For rent: Flat Mauritsstraat in Rotterdam,810,21,1,Upholstered,3012 CH,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/ee0419c2/mauritsstraat,810-3012 CH-21
For rent: Flat Specerijenhof in Rotterdam,2150,110,3,Furnished,3063 BX,Struisenburg,https://www.pararius.com/apartment-for-rent/rotterdam/56116c61/specerijenhof,2150-3063 BX-110
For rent: Flat Dorpsweg in Rotterdam,2250,145,4,Furnished,3083 LB,Oud Charlois,https://www.pararius.com/apartment-for-rent/rotterdam/d77b9440/dorpsweg,2250-3083 LB-145
For rent: Flat Groene Hilledijk 298 A2 in Rotterdam,725,50,2,Shell,3074 AG,Hillesluis,https://www.pararius.com/apartment-for-rent/rotterdam/19afb653/groene-hilledijk,725-3074 AG-50
For rent: Flat Prinses Margrietlaan in Rotterdam,1900,80,2,Furnished,3051 AP,Hillegersberg Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/907c848d/prinses-margrietlaan,1900-3051 AP-80
For rent: Flat Zuidhoek 266 A-03 in Rotterdam,799,43,2,Upholstered,3082 PT,Oud Charlois,https://www.pararius.com/apartment-for-rent/rotterdam/dc12487d/zuidhoek,799-3082 PT-43
For rent: Studio Katendrechtse Lagedijk in Rotterdam,650,20,1,Upholstered,3082 GA,Oud Charlois,https://www.pararius.com/studio-for-rent/rotterdam/18bf067e/katendrechtse-lagedijk,650-3082 GA-20
For rent: Flat Mozartlaan in Rotterdam,1700,77,3,,3055 KJ,Molenlaankwartier,https://www.pararius.com/apartment-for-rent/rotterdam/eb8909ee/mozartlaan,1700-3055 KJ-77
For rent: Flat Essenburgsingel 106 A in Rotterdam,1555,65,3,Upholstered,3022 EH,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/8cd1536f/essenburgsingel,1555-3022 EH-65
For rent: Flat Diergaardesingel 96 B in Rotterdam,855,35,2,Upholstered,3014 AH,Oude Westen,https://www.pararius.com/apartment-for-rent/rotterdam/c936846e/diergaardesingel,855-3014 AH-35
For rent: Flat Lambertusstraat in Rotterdam,2300,90,3,Furnished,3061 XW,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/752659d1/lambertusstraat,2300-3061 XW-90
For rent: House Trompetbloem 3 in Rotterdam,1995,111,4,Furnished,3068 AS,Ommoord,https://www.pararius.com/house-for-rent/rotterdam/08e3daec/trompetbloem,1995-3068 AS-111
For rent: Flat Tollensstraat in Rotterdam,2350,89,4,Upholstered,3035 NK,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/cc063cf9/tollensstraat,2350-3035 NK-89
For rent: Flat Kipstraat 41 J in Rotterdam,1470,80,3,,3011 ZX,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/238dff1e/kipstraat,1470-3011 ZX-80
For rent: House Jeroen Boschlaan in Rotterdam,3095,185,6,Upholstered,3055 NN,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/12e715a3/jeroen-boschlaan,3095-3055 NN-185
For rent: Flat Heiman Dullaertplein 95 in Rotterdam,1795,118,3,,3024 CD,Delfshaven,https://www.pararius.com/apartment-for-rent/rotterdam/88c3ed63/heiman-dullaertplein,1795-3024 CD-118
For rent: Studio Mathenesserweg in Rotterdam,1500,38,2,Furnished,3027 HG,Spangen,https://www.pararius.com/studio-for-rent/rotterdam/e62ba265/mathenesserweg,1500-3027 HG-38
For rent: Flat Beijerlandselaan 173 C in Rotterdam,816,40,2,Upholstered,3074 EH,Hillesluis,https://www.pararius.com/apartment-for-rent/rotterdam/016938fa/beijerlandselaan,816-3074 EH-40
For rent: Flat Beukelsdijk 18 A in Rotterdam,1900,73,3,Upholstered,3021 AG,Middelland,https://www.pararius.com/apartment-for-rent/rotterdam/15f8ba11/beukelsdijk,1900-3021 AG-73
For rent: Flat Boezemsingel in Rotterdam,2295,72,4,Upholstered,3034 EA,Oud Crooswijk,https://www.pararius.com/apartment-for-rent/rotterdam/2cc69cc1/boezemsingel,2295-3034 EA-72
For rent: Flat Pegasusweg in Rotterdam,1695,105,3,Furnished,3067 KX,Oosterflank,https://www.pararius.com/apartment-for-rent/rotterdam/3a98a9be/pegasusweg,1695-3067 KX-105
For rent: Flat Jupiterstraat in Rotterdam,1750,97,2,Upholstered,3054 WH,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/7e13113d/jupiterstraat,1750-3054 WH-97
For rent: Flat Gedempte Zalmhaven in Rotterdam,3254,83,3,Furnished,3016 DT,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/ef74dc83/gedempte-zalmhaven,3254-3016 DT-83
For rent: Flat Willebrordusplein 20 K in Rotterdam,1610,66,3,Upholstered,3037 TD,Liskwartier,https://www.pararius.com/apartment-for-rent/rotterdam/5ca4bcea/willebrordusplein,1610-3037 TD-66
For rent: Studio Lieve Verschuierstraat in Rotterdam,1100,27,2,Furnished,3021 ZD,Middelland,https://www.pararius.com/studio-for-rent/rotterdam/b00baa8e/lieve-verschuierstraat,1100-3021 ZD-27
For rent: Flat Samuel Mullerstraat in Rotterdam,1795,100,3,Furnished,3023 SM,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/0b0b9702/samuel-mullerstraat,1795-3023 SM-100
For rent: Flat Ploegstraat in Rotterdam,750,39,2,Upholstered,3075 ND,Vreewijk,https://www.pararius.com/apartment-for-rent/rotterdam/fe1354c4/ploegstraat,750-3075 ND-39
