title,price,square_meters,rooms,interior_state,postal_code,neighborhood,url
Appartement Zuidplein in Rotterdam,2250,87,3,Gestoffeerd,3083 CX,Zuidplein,https://www.huurwoningen.com/huren/rotterdam/1466645/zuidplein/
Appartement Diogenesstraat in Rotterdam,945,60,3,,3076 AB,Lombardijen,https://www.huurwoningen.com/huren/rotterdam/1447379/diogenesstraat/
Appartement Beukelsdijk in Rotterdam,1900,73,3,Gestoffeerd,3021 AG,Middelland,https://www.huurwoningen.com/huren/rotterdam/1470167/beukelsdijk/
Appartement Jupiterstraat in Rotterdam,1750,97,2,Gestoffeerd,3054 WH,Hillegersberg Noord,https://www.huurwoningen.com/huren/rotterdam/1470165/jupiterstraat/
Appartement Boezemsingel in Rotterdam,2295,72,4,Gestoffeerd,3034 EA,Oud Crooswijk,https://www.huurwoningen.com/huren/rotterdam/1470293/boezemsingel/
Huis Epicurusstraat in Rotterdam,964,45,3,,3076 NG,Lombardijen,https://www.huurwoningen.com/huren/rotterdam/1470222/epicurusstraat/
Appartement Beijerlandselaan in Rotterdam,816,40,2,Gestoffeerd,3074 EH,Hillesluis,https://www.huurwoningen.com/huren/rotterdam/1470169/beijerlandselaan/
Appartement Pegasusweg in Rotterdam,1695,105,3,Gemeubileerd,3067 KX,Oosterflank,https://www.huurwoningen.com/huren/rotterdam/1432706/pegasusweg/
Appartement Louise de Colignylaan in Rotterdam,1750,86,3,Gemeubileerd,3062 HC,Kralingen Oost,https://www.huurwoningen.com/huren/rotterdam/1470329/louise-de-colignylaan/
Appartement Mauritsstraat in Rotterdam,1250,24,2,Gestoffeerd,3012 CH,Cool,https://www.huurwoningen.com/huren/rotterdam/1470334/mauritsstraat/
Appartement Müllerkade in Rotterdam,2250,56,3,Gemeubileerd,3024 EP,Schiemond,https://www.huurwoningen.com/huren/rotterdam/1444615/muellerkade/
Appartement Spanjaardstraat in Rotterdam,1085,47,2,Gestoffeerd,3025 TW,Bospolder,https://www.huurwoningen.com/huren/rotterdam/1470344/spanjaardstraat/
Appartement Adamshofstraat in Rotterdam,2400,90,3,Gemeubileerd,3061 ZB,Kralingen West,https://www.huurwoningen.com/huren/rotterdam/1470349/adamshofstraat/
Appartement Mauritsstraat in Rotterdam,810,21,1,Gestoffeerd,3012 CH,Cool,https://www.huurwoningen.com/huren/rotterdam/1470335/mauritsstraat/
Appartement Nieuwe Binnenweg in Rotterdam,1095,62,2,Kaal,3023 EX,Nieuwe Westen,https://www.huurwoningen.com/huren/rotterdam/1470379/nieuwe-binnenweg/
Kamer Donkerslootstraat in Rotterdam,475,15,1,Gemeubileerd,3074 WL,Hillesluis,https://www.huurwoningen.com/huren/rotterdam/1470397/donkerslootstraat/
Appartement Boompjes in Rotterdam,1875,94,1,,3011 XB,Stadsdriehoek,https://www.huurwoningen.com/huren/rotterdam/1470028/boompjes/
Appartement Prinses Margrietlaan in Rotterdam,1900,80,2,Gemeubileerd,3051 AP,Hillegersberg Zuid,https://www.huurwoningen.com/huren/rotterdam/1469993/prinses-margrietlaan/
Appartement Van Oldenbarneveltplaats in Rotterdam,1415,85,3,,3012 AH,Cool,https://www.huurwoningen.com/huren/rotterdam/1470047/van-oldenbarneveltplaats/
Appartement Van der Hoevenplein in Rotterdam,1323,83,3,,3072 MK,Kop van Zuid,https://www.huurwoningen.com/huren/rotterdam/1470042/van-der-hoevenplein/
Appartement Boompjes in Rotterdam,1670,90,2,,3011 XB,Stadsdriehoek,https://www.huurwoningen.com/huren/rotterdam/1470035/boompjes/
Appartement Boompjes in Rotterdam,2160,99,2,,3011 XB,Stadsdriehoek,https://www.huurwoningen.com/huren/rotterdam/1470111/boompjes/
Appartement Zuidhoek in Rotterdam,799,43,2,Gestoffeerd,3082 PT,Oud Charlois,https://www.huurwoningen.com/huren/rotterdam/1470148/zuidhoek/
Appartement Essenburgsingel in Rotterdam,1555,65,3,Gestoffeerd,3022 EH,Nieuwe Westen,https://www.huurwoningen.com/huren/rotterdam/1470149/essenburgsingel/
Appartement Diergaardesingel in Rotterdam,855,35,2,Gestoffeerd,3014 AH,Oude Westen,https://www.huurwoningen.com/huren/rotterdam/1470150/diergaardesingel/
Appartement Gerrit Jan Mulderstraat in Rotterdam,1550,52,2,Gemeubileerd,3023 RL,Nieuwe Westen,https://www.huurwoningen.com/huren/rotterdam/1470401/gerrit-jan-mulderstraat/
Appartement Gerrit Jan Mulderstraat in Rotterdam,1595,58,2,Gemeubileerd,3023 RL,Nieuwe Westen,https://www.huurwoningen.com/huren/rotterdam/1470402/gerrit-jan-mulderstraat/
Huis Essenburgsingel in Rotterdam,1600,138,6,,3021 AP,Middelland,https://www.huurwoningen.com/huren/rotterdam/1470412/essenburgsingel/
Appartement Gedempte Zalmhaven in Rotterdam,1570,105,2,,3011 BT,Stadsdriehoek,https://www.huurwoningen.com/huren/rotterdam/1470447/gedempte-zalmhaven/
Appartement Bas Paauwestraat in Rotterdam,1600,88,3,,3077 MP,Oud IJsselmonde,https://www.huurwoningen.com/huren/rotterdam/1470154/bas-paauwestraat/
Appartement Dorpsweg in Rotterdam,2250,145,4,Gemeubileerd,3083 LB,Oud Charlois,https://www.huurwoningen.com/huren/rotterdam/1470411/dorpsweg/
