title,price,square_meters,rooms,interior_state,postal_code,neighborhood,url
For rent: Flat Mauritsstraat in Rotterdam,810,21,1,Upholstered,3012 CH,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/ee0419c2/mauritsstraat
For rent: Flat Müllerkade in Rotterdam,2250,56,3,Furnished,3024 EP,Schiemond,https://www.pararius.com/apartment-for-rent/rotterdam/6faabe85/muellerkade
For rent: Flat Spanjaardstraat in Rotterdam,1085,47,2,Upholstered,3025 TW,Bospolder,https://www.pararius.com/apartment-for-rent/rotterdam/400eb796/spanjaardstraat
For rent: Flat Jupiterstraat in Rotterdam,1750,97,2,Upholstered,3054 WH,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/7e13113d/jupiterstraat
For rent: Flat Wolphaertsbocht in Rotterdam,1495,75,3,Upholstered,3081 KJ,Tarwewijk,https://www.pararius.com/apartment-for-rent/rotterdam/97e9e5ba/wolphaertsbocht
For rent: Flat Boezemsingel in Rotterdam,2295,72,4,Upholstered,3034 EA,Oud Crooswijk,https://www.pararius.com/apartment-for-rent/rotterdam/2cc69cc1/boezemsingel
For rent: Flat Pegasusweg in Rotterdam,1695,105,3,Furnished,3067 KX,Oosterflank,https://www.pararius.com/apartment-for-rent/rotterdam/3a98a9be/pegasusweg
For rent: Flat Louise de Colignylaan 63 in Rotterdam,1750,86,3,Furnished,3062 HC,Kralingen Oost,https://www.pararius.com/apartment-for-rent/rotterdam/e22a2191/louise-de-colignylaan
For rent: Flat Gerrit Jan Mulderstraat in Rotterdam,1595,58,2,Furnished,3023 RL,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/42d74a5a/gerrit-jan-mulderstraat
For rent: Flat Gerrit Jan Mulderstraat in Rotterdam,1550,52,2,Furnished,3023 RL,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/a0dffa19/gerrit-jan-mulderstraat
For rent: Flat Adamshofstraat in Rotterdam,2400,90,3,Furnished,3061 ZB,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/161d7004/adamshofstraat
For rent: Flat Nieuwe Binnenweg in Rotterdam,1095,62,2,Shell,3023 EX,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/11d5eff7/nieuwe-binnenweg
For rent: Flat Heiman Dullaertplein 95 in Rotterdam,1795,118,3,,3024 CD,Delfshaven,https://www.pararius.com/apartment-for-rent/rotterdam/88c3ed63/heiman-dullaertplein
For rent: House Jeroen Boschlaan in Rotterdam,3095,185,6,Upholstered,3055 NN,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/12e715a3/jeroen-boschlaan
For rent: Studio Katendrechtse Lagedijk in Rotterdam,650,20,1,Upholstered,3082 GA,Oud Charlois,https://www.pararius.com/studio-for-rent/rotterdam/18bf067e/katendrechtse-lagedijk
For rent: Flat Lambertusstraat in Rotterdam,2300,90,3,Furnished,3061 XW,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/752659d1/lambertusstraat
For rent: Flat Tollensstraat in Rotterdam,2350,89,4,Upholstered,3035 NK,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/cc063cf9/tollensstraat
For rent: Flat Dorpsweg in Rotterdam,2250,145,4,Furnished,3083 LB,Oud Charlois,https://www.pararius.com/apartment-for-rent/rotterdam/d77b9440/dorpsweg
For rent: Flat Mozartlaan in Rotterdam,1700,77,3,,3055 KJ,Molenlaankwartier,https://www.pararius.com/apartment-for-rent/rotterdam/eb8909ee/mozartlaan
For rent: Flat Kipstraat 41 J in Rotterdam,1470,80,3,,3011 ZX,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/238dff1e/kipstraat
For rent: Flat Groene Hilledijk 298 A2 in Rotterdam,725,50,2,Shell,3074 AG,Hillesluis,https://www.pararius.com/apartment-for-rent/rotterdam/19afb653/groene-hilledijk
For rent: Studio Mathenesserweg in Rotterdam,1500,38,2,Furnished,3027 HG,Spangen,https://www.pararius.com/studio-for-rent/rotterdam/e62ba265/mathenesserweg
